EdLevel,YearsCodePro,Country,Gender,ConvertedCompYearly
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",10,United States of America,Man,200000
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",19,United States of America,Man,200000
"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",24,United States of America,Man,200000
Some college/university study without earning a degree,3,United States of America,Man,200000
Some college/university study without earning a degree,12,Poland,Man,200000
Some college/university study without earning a degree,3,United States of America,Man,200000
Some college/university study without earning a degree,3,United States of America,Man,200000
Some college/university study without earning a degree,5,United States of America,Man,200000
Some college/university study without earning a degree,6,United States of America,Man,200000
Some college/university study without earning a degree,7,United States of America,Man,200000
Some college/university study without earning a degree,9,United States of America,Man,200000
Some college/university study without earning a degree,12,United States of America,Man,200000
Some college/university study without earning a degree,6,United States of America,Man,200000
Some college/university study without earning a degree,7,United States of America,Man,200000
Some college/university study without earning a degree,7,United States of America,Man,200000
Some college/university study without earning a degree,9,United States of America,Man,200000
Some college/university study without earning a degree,10,United States of America,Man,200000
Some college/university study without earning a degree,10,United States of America,Man,200000
Some college/university study without earning a degree,10,United States of America,Man,200000
Some college/university study without earning a degree,13,United States of America,Man,200000
Some college/university study without earning a degree,14,United States of America,Man,200000
Some college/university study without earning a degree,20,United States of America,Man,200000
Some college/university study without earning a degree,22,United States of America,Man,200000
Some college/university study without earning a degree,30,United States of America,Man,200000
Some college/university study without earning a degree,2,United States of America,Man,200000
Some college/university study without earning a degree,7,United States of America,Man,200000
Some college/university study without earning a degree,17,United States of America,Man,200000
Some college/university study without earning a degree,20,United States of America,Man,200000
Some college/university study without earning a degree,27,United States of America,Man,200000
Some college/university study without earning a degree,27,United States of America,Man,200000
Some college/university study without earning a degree,27,United States of America,Man,200000
Some college/university study without earning a degree,30,United States of America,Man,200000
Some college/university study without earning a degree,31,United States of America,Man,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",10,United States of America,"Non-binary, genderqueer, or gender non-conforming",200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",5,United States of America,Woman,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",8,United States of America,Woman,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",9,United States of America,Woman,200000
"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,United States of America,Woman,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",5,United States of America,Woman,200000
"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",3,United States of America,Woman,200000
